timestamp,pageview_mobile_views,pageview_desktop_views,pagecount_mobile_views,pagecount_desktop_views,pagecount_all_views,pageview_all_views,month,year
2015-07-01,3288755294.0,4376666686.0,3254472695.0,5229226022.0,8483698717.0,7665421980.0,7,2015
2015-08-01,3302333038.0,4332482183.0,3268487582.0,5035534449.0,8304022031.0,7634815221.0,8,2015
2015-09-01,3170203333.0,4485491704.0,3172429827.0,5409631355.0,8582061182.0,7655695037.0,9,2015
2015-10-01,3268499132.0,4477532755.0,3246082505.0,5535704471.0,8781786976.0,7746031887.0,10,2015
2015-11-01,3236601070.0,4287720220.0,3218234512.0,5296956116.0,8515190628.0,7524321290.0,11,2015
2015-12-01,3376275307.0,4100012037.0,3387411863.0,5264446173.0,8651858036.0,7476287344.0,12,2015
2016-01-01,3717836846.0,4436179457.0,3739628742.0,5569632502.0,9309261244.0,8154016303.0,1,2016
2016-02-01,3334862272.0,4250997185.0,3333231392.0,5347709361.0,8680940753.0,7585859457.0,2,2016
2016-03-01,3386684191.0,4286590426.0,3419853636.0,5407676056.0,8827529692.0,7673274617.0,3,2016
2016-04-01,3258764002.0,4149383857.0,3301385124.0,5572235399.0,8873620523.0,7408147859.0,4,2016
2016-05-01,3395033236.0,4191778094.0,3418435805.0,5330532334.0,8748968139.0,7586811330.0,5,2016
2016-06-01,3354790945.0,3888839711.0,3372618063.0,4975092447.0,8347710510.0,7243630656.0,6,2016
2016-07-01,3496573762.0,4337865827.0,3500661121.0,5363966439.0,8864627560.0,7834439589.0,7,2016
2016-08-01,3515819303.0,4695046216.0,0.0,0.0,0.0,8210865519.0,8,2016
2016-09-01,3393285781.0,4135006498.0,0.0,0.0,0.0,7528292279.0,9,2016
2016-10-01,3509283891.0,4361737690.0,0.0,0.0,0.0,7871021581.0,10,2016
2016-11-01,3591044925.0,4392068236.0,0.0,0.0,0.0,7983113161.0,11,2016
2016-12-01,3776543855.0,4209608578.0,0.0,0.0,0.0,7986152433.0,12,2016
2017-01-01,4231961542.0,4521980398.0,0.0,0.0,0.0,8753941940.0,1,2017
2017-02-01,3711761399.0,4026702163.0,0.0,0.0,0.0,7738463562.0,2,2017
2017-03-01,3903493989.0,4319971902.0,0.0,0.0,0.0,8223465891.0,3,2017
2017-04-01,3639623119.0,3951456992.0,0.0,0.0,0.0,7591080111.0,4,2017
2017-05-01,3686687720.0,4187870579.0,0.0,0.0,0.0,7874558299.0,5,2017
2017-06-01,3519383193.0,3604550997.0,0.0,0.0,0.0,7123934190.0,6,2017
2017-07-01,3725059253.0,3565444544.0,0.0,0.0,0.0,7290503797.0,7,2017
2017-08-01,3621406302.0,3575572313.0,0.0,0.0,0.0,7196978615.0,8,2017
2017-09-01,3531604369.0,3547447892.0,0.0,0.0,0.0,7079052261.0,9,2017
2017-10-01,3673120542.0,3907651639.0,0.0,0.0,0.0,7580772181.0,10,2017
2017-11-01,3670012061.0,3816060923.0,0.0,0.0,0.0,7486072984.0,11,2017
2017-12-01,3830136304.0,3640391096.0,0.0,0.0,0.0,7470527400.0,12,2017
2018-01-01,4259282371.0,4111833689.0,0.0,0.0,0.0,8371116060.0,1,2018
2018-02-01,3725680728.0,3634653694.0,0.0,0.0,0.0,7360334422.0,2,2018
2018-03-01,4049874257.0,3965271925.0,0.0,0.0,0.0,8015146182.0,3,2018
2018-04-01,3927398111.0,3762955419.0,0.0,0.0,0.0,7690353530.0,4,2018
2018-05-01,4089188522.0,3675652396.0,0.0,0.0,0.0,7764840918.0,5,2018
2018-06-01,3977766741.0,3278649434.0,0.0,0.0,0.0,7256416175.0,6,2018
2018-07-01,4266113752.0,3457051589.0,0.0,0.0,0.0,7723165341.0,7,2018
2018-08-01,4187362161.0,3399130789.0,0.0,0.0,0.0,7586492950.0,8,2018
2018-09-01,3977120244.0,3433832231.0,0.0,0.0,0.0,7410952475.0,9,2018
2018-10-01,4073789753.0,3640606578.0,0.0,0.0,0.0,7714396331.0,10,2018
2018-11-01,4033380040.0,3448616562.0,0.0,0.0,0.0,7481996602.0,11,2018
2018-12-01,4289054166.0,3379686909.0,0.0,0.0,0.0,7668741075.0,12,2018
2019-01-01,4597597181.0,3616017826.0,0.0,0.0,0.0,8213615007.0,1,2019
2019-02-01,4018109995.0,3244921935.0,0.0,0.0,0.0,7263031930.0,2,2019
2019-03-01,4407290322.0,3439386600.0,0.0,0.0,0.0,7846676922.0,3,2019
2019-04-01,4261664166.0,3330234244.0,0.0,0.0,0.0,7591898410.0,4,2019
2019-05-01,4413766230.0,3364959217.0,0.0,0.0,0.0,7778725447.0,5,2019
2019-06-01,4285985271.0,2986618238.0,0.0,0.0,0.0,7272603509.0,6,2019
2019-07-01,4557266440.0,3140657554.0,0.0,0.0,0.0,7697923994.0,7,2019
2019-08-01,4531756543.0,2979881198.0,0.0,0.0,0.0,7511637741.0,8,2019
2014-10-01,0.0,0.0,3091546685.0,6577533128.0,9669079813.0,0.0,10,2014
2014-11-01,0.0,0.0,3027489668.0,6153537606.0,9181027274.0,0.0,11,2014
2014-12-01,0.0,0.0,3278950021.0,5830332248.0,9109282269.0,0.0,12,2014
2015-01-01,0.0,0.0,3485302091.0,6103767055.0,9589069146.0,0.0,1,2015
2015-02-01,0.0,0.0,3091534479.0,5602710439.0,8694244918.0,0.0,2,2015
2015-03-01,0.0,0.0,3330832588.0,6346602713.0,9677435301.0,0.0,3,2015
2015-04-01,0.0,0.0,3222089917.0,6198945657.0,9421035574.0,0.0,4,2015
2015-05-01,0.0,0.0,3334069483.0,6323801814.0,9657871297.0,0.0,5,2015
2015-06-01,0.0,0.0,3038162463.0,5165413640.0,8203576103.0,0.0,6,2015
2008-01-01,0.0,0.0,0.0,4930902570.0,4930902570.0,0.0,1,2008
2008-02-01,0.0,0.0,0.0,4818393763.0,4818393763.0,0.0,2,2008
2008-03-01,0.0,0.0,0.0,4955405809.0,4955405809.0,0.0,3,2008
2008-04-01,0.0,0.0,0.0,5159162183.0,5159162183.0,0.0,4,2008
2008-05-01,0.0,0.0,0.0,5584691092.0,5584691092.0,0.0,5,2008
2008-06-01,0.0,0.0,0.0,5712104279.0,5712104279.0,0.0,6,2008
2008-07-01,0.0,0.0,0.0,5306302874.0,5306302874.0,0.0,7,2008
2008-08-01,0.0,0.0,0.0,5140155519.0,5140155519.0,0.0,8,2008
2008-09-01,0.0,0.0,0.0,5479533823.0,5479533823.0,0.0,9,2008
2008-10-01,0.0,0.0,0.0,5679440782.0,5679440782.0,0.0,10,2008
2008-11-01,0.0,0.0,0.0,5415832071.0,5415832071.0,0.0,11,2008
2008-12-01,0.0,0.0,0.0,5211708451.0,5211708451.0,0.0,12,2008
2009-01-01,0.0,0.0,0.0,5802681551.0,5802681551.0,0.0,1,2009
2009-02-01,0.0,0.0,0.0,5547320860.0,5547320860.0,0.0,2,2009
2009-03-01,0.0,0.0,0.0,6295159057.0,6295159057.0,0.0,3,2009
2009-04-01,0.0,0.0,0.0,5988817321.0,5988817321.0,0.0,4,2009
2009-05-01,0.0,0.0,0.0,6267516733.0,6267516733.0,0.0,5,2009
2009-06-01,0.0,0.0,0.0,5818924182.0,5818924182.0,0.0,6,2009
2009-07-01,0.0,0.0,0.0,5801646978.0,5801646978.0,0.0,7,2009
2009-08-01,0.0,0.0,0.0,5790850384.0,5790850384.0,0.0,8,2009
2009-09-01,0.0,0.0,0.0,4057515768.0,4057515768.0,0.0,9,2009
2009-10-01,0.0,0.0,0.0,6016107147.0,6016107147.0,0.0,10,2009
2009-11-01,0.0,0.0,0.0,5768486910.0,5768486910.0,0.0,11,2009
2009-12-01,0.0,0.0,0.0,5426505977.0,5426505977.0,0.0,12,2009
2010-01-01,0.0,0.0,0.0,5703465285.0,5703465285.0,0.0,1,2010
2010-02-01,0.0,0.0,0.0,5762451418.0,5762451418.0,0.0,2,2010
2010-03-01,0.0,0.0,0.0,6661347946.0,6661347946.0,0.0,3,2010
2010-04-01,0.0,0.0,0.0,6618552152.0,6618552152.0,0.0,4,2010
2010-05-01,0.0,0.0,0.0,6410578775.0,6410578775.0,0.0,5,2010
2010-06-01,0.0,0.0,0.0,4898035014.0,4898035014.0,0.0,6,2010
2010-07-01,0.0,0.0,0.0,5296177638.0,5296177638.0,0.0,7,2010
2010-08-01,0.0,0.0,0.0,7381346660.0,7381346660.0,0.0,8,2010
2010-09-01,0.0,0.0,0.0,7546488744.0,7546488744.0,0.0,9,2010
2010-10-01,0.0,0.0,0.0,10172844562.0,10172844562.0,0.0,10,2010
2010-11-01,0.0,0.0,0.0,6948678354.0,6948678354.0,0.0,11,2010
2010-12-01,0.0,0.0,0.0,7001952100.0,7001952100.0,0.0,12,2010
2011-01-01,0.0,0.0,0.0,7568511227.0,7568511227.0,0.0,1,2011
2011-02-01,0.0,0.0,0.0,6906248849.0,6906248849.0,0.0,2,2011
2011-03-01,0.0,0.0,0.0,7326545928.0,7326545928.0,0.0,3,2011
2011-04-01,0.0,0.0,0.0,6835492088.0,6835492088.0,0.0,4,2011
2011-05-01,0.0,0.0,0.0,7009799378.0,7009799378.0,0.0,5,2011
2011-06-01,0.0,0.0,0.0,6536675534.0,6536675534.0,0.0,6,2011
2011-07-01,0.0,0.0,0.0,6571730164.0,6571730164.0,0.0,7,2011
2011-08-01,0.0,0.0,0.0,6514500361.0,6514500361.0,0.0,8,2011
2011-09-01,0.0,0.0,0.0,5837738935.0,5837738935.0,0.0,9,2011
2011-10-01,0.0,0.0,0.0,6974424665.0,6974424665.0,0.0,10,2011
2011-11-01,0.0,0.0,0.0,7507641641.0,7507641641.0,0.0,11,2011
2011-12-01,0.0,0.0,0.0,6396357939.0,6396357939.0,0.0,12,2011
2012-01-01,0.0,0.0,0.0,7808477339.0,7808477339.0,0.0,1,2012
2012-02-01,0.0,0.0,0.0,7530127141.0,7530127141.0,0.0,2,2012
2012-03-01,0.0,0.0,0.0,7358543625.0,7358543625.0,0.0,3,2012
2012-04-01,0.0,0.0,0.0,7220029422.0,7220029422.0,0.0,4,2012
2012-05-01,0.0,0.0,0.0,7784479302.0,7784479302.0,0.0,5,2012
2012-06-01,0.0,0.0,0.0,7524265988.0,7524265988.0,0.0,6,2012
2012-07-01,0.0,0.0,0.0,7819376527.0,7819376527.0,0.0,7,2012
2012-08-01,0.0,0.0,0.0,7885641059.0,7885641059.0,0.0,8,2012
2012-09-01,0.0,0.0,0.0,7913689733.0,7913689733.0,0.0,9,2012
2012-10-01,0.0,0.0,0.0,8379960050.0,8379960050.0,0.0,10,2012
2012-11-01,0.0,0.0,0.0,8219987195.0,8219987195.0,0.0,11,2012
2012-12-01,0.0,0.0,0.0,8033826900.0,8033826900.0,0.0,12,2012
2013-01-01,0.0,0.0,0.0,9126210673.0,9126210673.0,0.0,1,2013
2013-02-01,0.0,0.0,0.0,8100597857.0,8100597857.0,0.0,2,2013
2013-03-01,0.0,0.0,0.0,8701419671.0,8701419671.0,0.0,3,2013
2013-04-01,0.0,0.0,0.0,8049296729.0,8049296729.0,0.0,4,2013
2013-05-01,0.0,0.0,0.0,8089099883.0,8089099883.0,0.0,5,2013
2013-06-01,0.0,0.0,0.0,7759959725.0,7759959725.0,0.0,6,2013
2013-07-01,0.0,0.0,0.0,8237301982.0,8237301982.0,0.0,7,2013
2013-08-01,0.0,0.0,0.0,9306122925.0,9306122925.0,0.0,8,2013
2013-09-01,0.0,0.0,0.0,9985326806.0,9985326806.0,0.0,9,2013
2013-10-01,0.0,0.0,0.0,10775158269.0,10775158269.0,0.0,10,2013
2013-11-01,0.0,0.0,0.0,10414877805.0,10414877805.0,0.0,11,2013
2013-12-01,0.0,0.0,0.0,7102459747.0,7102459747.0,0.0,12,2013
2014-01-01,0.0,0.0,0.0,7026531269.0,7026531269.0,0.0,1,2014
2014-02-01,0.0,0.0,0.0,6718243109.0,6718243109.0,0.0,2,2014
2014-03-01,0.0,0.0,0.0,7464128273.0,7464128273.0,0.0,3,2014
2014-04-01,0.0,0.0,0.0,7216245221.0,7216245221.0,0.0,4,2014
2014-05-01,0.0,0.0,0.0,7543277646.0,7543277646.0,0.0,5,2014
2014-06-01,0.0,0.0,0.0,6577352648.0,6577352648.0,0.0,6,2014
2014-07-01,0.0,0.0,0.0,6761059566.0,6761059566.0,0.0,7,2014
2014-08-01,0.0,0.0,0.0,6687313714.0,6687313714.0,0.0,8,2014
2014-09-01,0.0,0.0,0.0,7564600999.0,7564600999.0,0.0,9,2014
